ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global
,simple,LP-32SMHD,"Lopus 32"" HD Ready Smart LED TV (LP-32SMHD)",1,0,visible,"Compact 32-inch Lopus Smart LED TV with HD Ready display, built-in Wi-Fi, and Android Smart OS. Stream Netflix, YouTube, Prime Video and more — perfect for bedrooms, kitchens, and small living rooms.","The Lopus LP-32SMHD 32-inch HD Ready Smart LED TV brings premium entertainment into compact spaces. With its A+ grade HD Ready panel, intuitive Android Smart OS, and rich connectivity options, it's the ideal second TV for any room.

KEY FEATURES
- 32-inch (80 cm) HD Ready Display (1366 x 768)
- Smart TV with built-in Wi-Fi and Android OS
- Pre-loaded apps: Netflix, YouTube, Prime Video, Hotstar
- 20W Box Speakers with Surround Sound
- 2 x HDMI, 2 x USB, AV In, RF, LAN
- Screen Mirroring & Bluetooth support
- Wall Mount + Table Top design
- Smart Remote with hotkeys

WHAT'S IN THE BOX: TV, Smart Remote, 2x AAA Batteries, Stand Kit, Power Cable, User Manual, Warranty Card

WARRANTY: 1 Year Manufacturer Warranty",,,taxable,,1,50,5,0,0,5.5,73,12,47,1,"Thank you for choosing Lopus. Please retain your invoice for warranty claims.",9999,14999,"Electronics > Television > Smart TV > 32 Inch TV","lopus, 32 inch tv, smart tv, hd ready tv, lp-32smhd, android tv, led tv","Large Items",,,,,,,,,,1,Brand,Lopus,1,1,Display Size,"32 inch",1,1,Resolution,"HD Ready (1366x768)",1,1,Smart OS,Android,1,1,HDMI Ports,2,1,1,USB Ports,2,1,1,Speaker Output,"20W",1,1,Wi-Fi,Yes,1,1,Bluetooth,Yes,1,1,Warranty,"1 Year",1,1
,simple,LP-43SMFHD,"Lopus 43"" Full HD Smart LED TV (LP-43SMFHD)",1,0,visible,"Lopus LP-43SMFHD delivers crisp Full HD visuals on a 43-inch frameless LED panel with built-in Android Smart OS, dual-band Wi-Fi, and 24W surround sound — ideal for medium-sized rooms.","Step up to a true Full HD entertainment experience with the Lopus 43"" Smart LED TV. Featuring a slim frameless design, vibrant 1080p picture, and a powerful smart platform, it's built for binge-watching, gaming, and streaming.

KEY FEATURES
- 43-inch (108 cm) Full HD Display (1920 x 1080)
- Frameless / Bezel-less Design
- Android Smart OS with Google Play Store
- HDR support for richer contrast
- 24W Box Speakers with Dolby Audio
- 3 x HDMI, 2 x USB, AV, RF, LAN, Optical Out
- Wi-Fi (dual-band) + Bluetooth + Miracast
- Voice-enabled Smart Remote

WHAT'S IN THE BOX: TV, Remote, 2x AAA Batteries, Stand Kit, Power Cable, User Manual

WARRANTY: 1 Year Manufacturer Warranty",,,taxable,,1,35,5,0,0,8.5,97,18,60,1,"Thank you for choosing Lopus. Please retain your invoice for warranty claims.",16999,22999,"Electronics > Television > Smart TV > 43 Inch TV","lopus, 43 inch tv, full hd tv, smart tv, lp-43smfhd, frameless tv, android tv","Large Items",,,,,,,,,,2,Brand,Lopus,1,1,Display Size,"43 inch",1,1,Resolution,"Full HD (1920x1080)",1,1,HDR,Yes,1,1,Smart OS,Android,1,1,HDMI Ports,3,1,1,USB Ports,2,1,1,Speaker Output,"24W Dolby",1,1,Wi-Fi,"Dual Band",1,1,Warranty,"1 Year",1,1
,simple,LP-43SM4KFL,"Lopus 43"" Smart 4K UHD Frameless LED TV (LP-43SM4KFL)",1,0,visible,"Experience 4K brilliance on a 43-inch frameless LED panel. The Lopus LP-43SM4KFL combines Ultra HD resolution, HDR10, Dolby Audio, and Android Smart OS for cinematic viewing in compact spaces.","The Lopus LP-43SM4KFL 43"" Smart 4K UHD TV upgrades your viewing with 4x the detail of Full HD. Its bezel-less design and powerful smart platform make it the perfect compact 4K TV for bedrooms or studios.

KEY FEATURES
- 43-inch Ultra HD 4K Display (3840 x 2160)
- HDR10 + Dynamic Color Enhancement
- Frameless / Bezel-less Design
- Android Smart OS with Google Play Store
- 24W Dolby Audio Speakers
- 3 x HDMI, 2 x USB, AV, RF, LAN, Optical Out
- Wi-Fi (dual-band), Bluetooth, Miracast
- Voice-enabled Smart Remote with OTT hotkeys

WARRANTY: 1 Year Manufacturer Warranty",,,taxable,,1,30,5,0,0,9,97,18,60,1,"Thank you for choosing Lopus. Please retain your invoice for warranty claims.",19999,27999,"Electronics > Television > Smart TV > 4K UHD TV > 43 Inch TV","lopus, 43 inch 4k tv, smart 4k tv, lp-43sm4kfl, frameless tv, hdr10, android tv","Large Items",,,,,,,,,,3,Brand,Lopus,1,1,Display Size,"43 inch",1,1,Resolution,"4K UHD (3840x2160)",1,1,HDR,HDR10,1,1,Smart OS,Android,1,1,HDMI Ports,3,1,1,USB Ports,2,1,1,Speaker Output,"24W Dolby",1,1,Wi-Fi,"Dual Band",1,1,Warranty,"1 Year",1,1
,simple,LP-50SM4KFL,"Lopus 50"" Smart 4K UHD Frameless LED TV (LP-50SM4KFL)",1,0,visible,"Big screen, big experience. The Lopus LP-50SM4KFL 50-inch Smart 4K TV delivers Ultra HD visuals, HDR10, Dolby Audio, and seamless streaming on a sleek frameless design.","Bring movies, sports, and games to life on the Lopus 50"" Smart 4K UHD LED TV. Its frameless design, vivid 4K resolution, and powerful Android Smart OS deliver a true cinematic experience at home.

KEY FEATURES
- 50-inch (127 cm) Ultra HD 4K Display (3840 x 2160)
- HDR10 with Dynamic Backlight
- Frameless / Bezel-less Design
- Android Smart OS with Google Play
- 24W Box Speakers with Dolby Audio
- 3 x HDMI, 2 x USB, AV, RF, LAN, Optical Out
- Wi-Fi, Bluetooth, Miracast
- Voice Smart Remote

WARRANTY: 1 Year Manufacturer Warranty",,,taxable,,1,25,5,0,0,12,113,20,70,1,"Thank you for choosing Lopus. Please retain your invoice for warranty claims.",22499,29999,"Electronics > Television > Smart TV > 4K UHD TV > 50 Inch TV","lopus, 50 inch tv, 4k tv, smart tv, lp-50sm4kfl, frameless tv, android tv","Large Items",,,,,,,,,,4,Brand,Lopus,1,1,Display Size,"50 inch",1,1,Resolution,"4K UHD (3840x2160)",1,1,HDR,HDR10,1,1,Smart OS,Android,1,1,HDMI Ports,3,1,1,USB Ports,2,1,1,Speaker Output,"24W Dolby",1,1,Wi-Fi,Yes,1,1,Warranty,"1 Year",1,1
,simple,LP-55SM4KFL,"Lopus 55"" Smart 4K UHD Frameless LED TV (LP-55SM4KFL)",1,1,visible,"Experience cinema at home with the Lopus LP-55SM4KFL 55-inch Smart 4K UHD Frameless LED TV. Powered by Android Smart OS, it delivers brilliant 4K visuals, immersive surround sound, and seamless streaming on Netflix, YouTube, Prime Video, and more — all in a sleek bezel-less design.","Bring home the Lopus LP-55SM4KFL 55"" Smart 4K UHD LED TV — designed to transform your living room into a personal home theatre. With its ultra-slim frameless design, vibrant 4K resolution, and intuitive smart interface, this television combines premium aesthetics with powerful performance.

KEY HIGHLIGHTS
- 55-inch (139 cm) Ultra HD 4K Display (3840 x 2160)
- Frameless / Bezel-less Design
- Smart TV with built-in Wi-Fi
- HDR10 Support
- A+ Grade LED Panel with 178° wide viewing angle
- Dolby Audio + 24W Box Speakers
- 3 x HDMI, 2 x USB, AV, RF, LAN, Optical Out
- Bluetooth, Wi-Fi, Miracast
- Voice-enabled Smart Remote

WHAT'S IN THE BOX: TV, Smart Remote, 2x AAA Batteries, Wall Mount/Stand Kit, Power Cable, Manual & Warranty Card

WARRANTY: 1 Year Manufacturer Warranty + extended panel warranty as per brand policy",,,taxable,,1,25,5,0,0,14.5,124,22,78,1,"Thank you for choosing Lopus. Please retain your invoice for warranty claims.",24999,32999,"Electronics > Television > Smart TV > 4K UHD TV > 55 Inch TV","lopus, 55 inch tv, 4k tv, smart tv, lp-55sm4kfl, frameless tv, android tv, hdr10","Large Items",,,,,,,,,,5,Brand,Lopus,1,1,Display Size,"55 inch",1,1,Resolution,"4K UHD (3840x2160)",1,1,HDR,HDR10,1,1,Smart OS,Android,1,1,HDMI Ports,3,1,1,USB Ports,2,1,1,Speaker Output,"24W Dolby",1,1,VESA Mount,"200x200 mm",1,1,Warranty,"1 Year",1,1
,simple,LP-65SM4KFL,"Lopus 65"" Smart 4K UHD Frameless LED TV (LP-65SM4KFL)",1,0,visible,"Go cinematic with the Lopus 65"" Smart 4K UHD Frameless LED TV. Massive screen real estate, HDR10, Dolby Audio, and a powerful Android Smart OS for the ultimate home theatre.","Transform your living room into a cinema with the Lopus LP-65SM4KFL 65"" Smart 4K UHD LED TV. With a stunning frameless design, vivid 4K resolution, and immersive Dolby Audio, every frame feels larger than life.

KEY FEATURES
- 65-inch (164 cm) Ultra HD 4K Display (3840 x 2160)
- HDR10 + Dynamic Color Enhancement
- Frameless / Bezel-less Design
- Android Smart OS, Google Play Store
- 30W Box Speakers with Dolby Audio
- 3 x HDMI, 2 x USB, AV, RF, LAN, Optical Out
- Wi-Fi (dual-band), Bluetooth, Miracast
- Voice-enabled Smart Remote

WARRANTY: 1 Year Manufacturer Warranty",,,taxable,,1,15,3,0,0,18,146,22,88,1,"Thank you for choosing Lopus. Please retain your invoice for warranty claims.",38999,49999,"Electronics > Television > Smart TV > 4K UHD TV > 65 Inch TV","lopus, 65 inch tv, 4k tv, smart tv, lp-65sm4kfl, frameless tv, android tv","Large Items",,,,,,,,,,6,Brand,Lopus,1,1,Display Size,"65 inch",1,1,Resolution,"4K UHD (3840x2160)",1,1,HDR,HDR10,1,1,Smart OS,Android,1,1,HDMI Ports,3,1,1,USB Ports,2,1,1,Speaker Output,"30W Dolby",1,1,Wi-Fi,"Dual Band",1,1,Warranty,"1 Year",1,1
,simple,LP-SOUNDBAR,"Lopus Bluetooth Soundbar with Subwoofer (LP-SOUNDBAR)",1,0,visible,"Cinematic audio in a sleek bar. The Lopus LP-SOUNDBAR delivers powerful 2.1 channel sound with Bluetooth, USB, AUX, optical, and HDMI inputs — perfect partner for your TV.","Upgrade your TV's audio with the Lopus Bluetooth Soundbar. Engineered for clear dialogue, deep bass, and immersive surround, it transforms movies, music, and games into a theatre-grade experience.

KEY FEATURES
- 2.1 Channel Sound with built-in / wired Subwoofer
- 80W RMS Output
- Bluetooth 5.0 wireless connectivity
- Multiple Inputs: HDMI ARC, Optical, AUX, USB, Bluetooth
- Wall-mountable + Tabletop design
- Pre-tuned Sound Modes: Movie, Music, News, Game
- Slim sleek design with LED display
- Remote control included

WHAT'S IN THE BOX: Soundbar, Subwoofer, Remote, AUX Cable, Optical Cable, Power Adapter, Wall Mount Kit, Manual

WARRANTY: 1 Year Manufacturer Warranty",,,taxable,,1,60,10,0,0,4,90,8,10,1,"Thank you for choosing Lopus. Please retain your invoice for warranty claims.",4499,7999,"Electronics > Audio > Soundbars > Home Theatre","lopus, soundbar, bluetooth soundbar, lp-soundbar, 2.1 soundbar, home theatre, hdmi arc",,,,,,,,,,,7,Brand,Lopus,1,1,Speaker Type,"Soundbar 2.1",1,1,Output,"80W RMS",1,1,Bluetooth,"5.0",1,1,Inputs,"HDMI ARC, Optical, AUX, USB",1,1,Subwoofer,"Wired",1,1,Mounting,"Wall/Table",1,1,Sound Modes,"Movie, Music, News, Game",1,1,Remote,Yes,1,1,Warranty,"1 Year",1,1
,simple,LP-SOLO-TOWER-525,"Lopus Solo Tower 5.25"" Bluetooth Tower Speaker (LP-SOLO-TOWER-525)",1,0,visible,"The Lopus Solo Tower with a powerful 5.25-inch driver delivers room-filling bass and crystal-clear highs. Bluetooth, USB, FM, AUX — your one-stop tower speaker for parties at home.","The Lopus LP-SOLO-TOWER-525 is a single-tower party speaker designed to deliver punchy bass and crisp vocals. With multiple input options, built-in FM radio, and dynamic LED lighting, it's the life of any gathering.

KEY FEATURES
- 5.25"" High-power Woofer + Tweeters
- 60W RMS Output
- Bluetooth 5.0 wireless connectivity
- USB, AUX, SD Card, FM Radio support
- Karaoke ready – Mic & Guitar input
- Dynamic RGB LED party lights
- Wireless Remote Control included
- Sturdy floor-standing tower design

WHAT'S IN THE BOX: Tower Speaker, Remote, Power Cable, AUX Cable, Manual

WARRANTY: 1 Year Manufacturer Warranty",,,taxable,,1,40,5,0,0,9,28,28,95,1,"Thank you for choosing Lopus. Please retain your invoice for warranty claims.",5999,8499,"Electronics > Audio > Tower Speakers > Party Speakers","lopus, tower speaker, lp-solo-tower, party speaker, bluetooth tower, karaoke speaker, 5.25 inch driver",,,,,,,,,,,8,Brand,Lopus,1,1,Speaker Type,"Tower Speaker",1,1,Driver,"5.25 inch",1,1,Output,"60W RMS",1,1,Bluetooth,"5.0",1,1,Inputs,"USB, AUX, SD, FM, Mic, Guitar",1,1,LED Lights,"RGB",1,1,Karaoke,Yes,1,1,Remote,Yes,1,1,Warranty,"1 Year",1,1
,simple,LP-KING-4.1,"Lopus King 4.1 Channel Multimedia Speaker System (LP-KING-4.1)",1,0,visible,"Lopus King 4.1 channel multimedia speaker system delivers immersive surround sound with four satellite speakers and a powerful subwoofer. Bluetooth, USB, FM and AUX-ready.","The Lopus LP-KING-4.1 brings a true 4.1 surround experience with four satellite speakers and a thunderous subwoofer. Whether you're watching a movie, gaming, or hosting a party, the King 4.1 keeps the energy high.

KEY FEATURES
- 4.1 Channel Surround Sound (4 Satellites + 1 Subwoofer)
- 100W RMS Output
- Bluetooth 5.0, USB, AUX, FM Radio, SD Card
- LED Display + RGB Lights
- Karaoke Mic Input
- Wireless Remote Control
- Wood Cabinet Subwoofer for Deep Bass

WHAT'S IN THE BOX: Subwoofer, 4 Satellite Speakers, Remote, AUX Cable, Power Cable, Manual

WARRANTY: 1 Year Manufacturer Warranty",,,taxable,,1,30,5,0,0,12,45,35,50,1,"Thank you for choosing Lopus. Please retain your invoice for warranty claims.",7999,11999,"Electronics > Audio > Multimedia Speakers > Home Theatre","lopus, 4.1 speaker, lp-king, multimedia speaker, home theatre, bluetooth speaker, karaoke",,,,,,,,,,,9,Brand,Lopus,1,1,Speaker Type,"4.1 Multimedia",1,1,Output,"100W RMS",1,1,Bluetooth,"5.0",1,1,Inputs,"USB, AUX, FM, SD, Mic",1,1,Subwoofer,"Wood Cabinet",1,1,Karaoke,Yes,1,1,LED Display,Yes,1,1,Remote,Yes,1,1,Warranty,"1 Year",1,1
,simple,LP-DJ-TOWER,"Lopus DJ Tower Bluetooth Party Speaker (LP-DJ-TOWER)",1,0,visible,"Built for parties — the Lopus DJ Tower combines high-output bass, dazzling RGB lights, dual mic inputs, and Bluetooth into one bold floor-standing speaker.","The Lopus LP-DJ-TOWER is engineered for high-impact entertainment. With booming bass, vibrant disco lights, and karaoke-ready mic inputs, this DJ tower turns every gathering into a celebration.

KEY FEATURES
- Dual 8"" Subwoofers + Tweeters
- 200W RMS Output
- Bluetooth 5.0 wireless connectivity
- USB, AUX, SD Card, FM Radio
- Dual Mic + Guitar Inputs (Karaoke)
- DJ-style RGB LED Disco Lights
- Built-in Echo & Treble/Bass Controls
- Wireless Remote
- Heavy-duty floor-standing tower design

WHAT'S IN THE BOX: Tower Speaker, Wired Mic, Remote, Power Cable, AUX Cable, Manual

WARRANTY: 1 Year Manufacturer Warranty",,,taxable,,1,20,3,0,0,18,35,35,110,1,"Thank you for choosing Lopus. Please retain your invoice for warranty claims.",11999,16999,"Electronics > Audio > Tower Speakers > DJ & Party Speakers","lopus, dj tower, party speaker, lp-dj-tower, bluetooth dj speaker, disco lights, karaoke tower",,,,,,,,,,,10,Brand,Lopus,1,1,Speaker Type,"DJ Tower",1,1,Driver,"Dual 8 inch",1,1,Output,"200W RMS",1,1,Bluetooth,"5.0",1,1,Inputs,"USB, AUX, SD, FM, 2x Mic, Guitar",1,1,LED Lights,"RGB Disco",1,1,Karaoke,Yes,1,1,Wired Mic Included,Yes,1,1,Warranty,"1 Year",1,1
